title,release year,genre,key words,plot,run time /min,number of votes,rating
Cyberbully,2011,Drama,attempted-suicide|suicide-attempt|cyber-bully|high-school|rumormonger|rumor|teenage-angst|friend|female-protagonist|character-says-i-love-you|gay-teenager|freedom-of-speech|attorney|female-bully|bully|internet-addiction|homophobia|internet-chat|gossip|popularity|cautionary-tale|computer-cracking|reference-to-facebook,A teenager is subjected to a campaign of bullying by classmates through a social networking site.,87,11726,5.6
16 Wishes,2010,Drama|Family|Fantasy|Romance,wish|16-year-old|16th-birthday|remake|be-careful-what-you-wish-for|teenager|teenage-girl|female-protagonist|2010s|female-stuck-in-sticky-substance|public-humiliation|chore|party|loyalty|gift|locker-room|metamorphosis|jealousy|pantyhose|camera-shot-of-feet|foot-closeup|female-stockinged-foot|magic,Abby's made a 16 wishes list for her 16th birthday. She gets 16 magic candles - 1 wish per hour. Things are fine in the beginning.,90,11401,5.4
Sharknado 3: Oh Hell No!,2015,Action|Adventure|Comedy|Horror|Sci-Fi|Thriller,third-part|psychotronic-film|the-white-house|florida|washington-d.c.|shark|orlando-florida|tornado|roller-coaster|shark-feature|astronaut|space-shuttle|nasa|chainsaw|fighter-jet|nascar|shark-attack|extreme-weather|disaster-film|storm|u.s.-president|president|cgi|absurd-humor|sequel,"A monstrous tornado unleashes ravenous sharks from Washington, D.C., all the way down to Orlando, Florida.",93,11140,4.1
Boys,2014,Drama|Romance,gay-teenager|gay-love|gay|rebellious-son|gay-crush|gay-angst|gay-kiss|gay-athlete|coming-of-age|coming-out|athletics|gay-son|gay-flirting|gay-romance|jealousy|father-son-relationship|teenage-love|death-of-mother|gay-acceptance|sock|poster|ice-cream|brother-sister-relationship|beach|single-father|friendship|foot-racing|firewood|friendship-between-boys|title-directed-by-female|bare-chested-male|barefoot-male|bare-chested-teenage-boy|moped|teammate|relay-race|race|athletic-poster|team-in-training|running-barefoot|hollow-victory|fair|bus|deer|guitar|tickling|trampoline|ice-cream-cart|handstand|cow|birthday|breakfast-in-bed|horseplay|track-team|running|shower|bicycle|cloakroom|joyrider|joyride|swimming|disobedience|widower|campfire|motorcycle|runner|denial|flirting|first-kiss|motor,A sexually awakening gay teen athlete finds himself in a budding relationship with his mutually attracted relay race teammate.,78,11137,7.4
Red Riding: The Year of Our Lord 1974,2009,Crime|Drama|Mystery|Thriller,evil-cop|evil-man|human-monster|gloomy|police-brutality|evil-policeman|strangulation|shot-multiple-times|ejected-from-a-moving-vehicle|gun-held-to-head|handcuffs|bandaged-hand|raining|out-of-focus|extreme-closeup|false-confession|nightmare|door-closed-on-hand|corrigated-glass|testicles-squeezed|threatened-by-police|parking-garage|red-hooded-jacket|crime-scene-photograph|rape|torture|newspaper-reporter|fog|missing-child|year-1974|1970s|part-of-trilogy|cigarette-smoking|year-in-title|color-in-title|based-on-novel|number-in-title|wristwatch|billiards|male-rear-nudity,A rookie Yorkshire journalist sets out to solve the case of a child murderer.,102,10964,7.0
Remember Sunday,2013,Drama|Romance,jewelry-store|aneurysm|flowers|anterograde-amnesia|short-term-memory-loss|pen|dictaphone|waitress|dating|inheritance|origami|brain-damage|diamond|amnesiac|recording|schedule|insecurity|memo|scientist|trust|confession|misunderstanding|frustration|sister|girlfriend|fall-in-love|astronomer|forgetting-name|zoo|elephant|shooting-star|violinist|woman-wearing-glasses|ruby-ring|flower-shop|yellow-flowers|star-wars-reference|lights-turned-off|view-through-telescope|pez-dispenser|boyfriend-girlfriend-relationship|car-won't-start|florist-shop|ring|water-overflowing|laptop-computer|comet|meteor|telescope|observatory|cosmologist,"A lonely waitress meets a handsome, quirky jewelry store clerk who had a brain aneurysm and thus has short-term memory loss.",96,10777,6.9
Geek Charming,2011,Comedy|Drama|Family|Romance,twin|popularity|film-festival|diva|fountain|disney-channel-original-movie|overalls|peer-pressure|contact-lens|vegetarian|burp|egocentrism|high-school-crush|jumprope|makeover|boredom|cupcake|campaigning|piggy-back-ride|camera|beach|beach-volleyball|asian-food|manicure|dog|great-dane|sushi|wet-clothes|tears|crying|widower|single-parent|shoes|social-class|arrogance|purse|escalator|film-assignment|shopping-mall|chess|rewinding-action|lunch-lady|perfume|breaking-the-fourth-wall-by-talking-to-the-audience|accident|cafeteria|daydream|clipboard|beauty-pageant|academic-advisor|hamster,"To win a school popularity contest, a high school diva permits a film club classmate to record her popular life, but the film starts documenting her decline instead.",94,10373,6.4
Brexit,2019,Biography|Drama|History,england|one-word-title|referendum|year-2016|21th-century|2010s|united-kingdom|based-on-real-person|man|based-on-true-story,Political strategist Dominic Cummings leads a popular but controversial campaign to convince British voters to leave the European Union from 2015 up until the present day.,92,9725,7.0
Seal Team Six: The Raid on Osama Bin Laden,2012,Action|Crime|Drama|Thriller,navy-seal|special-forces|shooting-range|terrorist|home-schooling|war-dog|reference-to-geronimo|wrestling|cia|operation-eagle-claw|radar-jamming|ch-47-chinook-helicopter|f-15-strike-eagle|code-name|operation-neptune-spear|calling-home|ah-64-apache-helicopter|uh-60-blackhawk-helicopter|goat|video-surveillance|video-conferencing|ambush|moral-code|hooded-prisoner|earth-viewed-from-space|guantanamo-bay|reference-to-osama-bin-laden|fistfight|murder|aircraft-carrier|army-base|shot-in-the-back|shot-in-the-leg|shot-in-the-forehead|knife|shot-in-the-arm|shot-in-the-shoulder|shot-to-death|binoculars|shot-in-the-head|shot-in-the-chest|hand-grenade|c4-explosives|dog|politics|tracking-device|cell-phone|rocket-launcher|lasersight|fighter-jet|police|grenade-launcher|drug-overdose|assault-rifle|mercenary|satellite|ak-47|car-chase|government-agent|secret-agent|spy|undercover|female-spy|cia-agent|soldier|commando|top-secret|u.s.-army|military|general|target-practice|brawl|fight|machine-gun|sniper|night-vision-binoculars|pistol|photograph|terrorist-group|terrorism|combat|battle|gunfight|shootout|desert|waitress|diner|interrogation|torture|pakistan|helicopter|exploding-helicopter|explosion|assault|public-enemy|briefing|full-frontal-nudity|military-officer|2020s,A group of Navy SEALs comes to learn the identity of their target: Osama bin Laden.,90,9493,5.7
Grey Gardens,2009,Biography|Drama,new-york-city|singing|filmmaking|eccentric|documentary-filmmaking|socialite|alliterative-title|two-word-title|female-protagonist|owning-many-cats|color-in-title|head-scarf|told-in-flashback|telephone-call|surprise-after-end-credits|single-mother|scene-during-end-credits|renovation|recluse|portrait-painting|piano|old-woman|old-dark-house|old-age|male-female-relationship|money-problems|marital-separation|inspection|house|hair-loss|film-premiere|fashion-show|dancing|cheating-husband|big-city|beach|1930s|cat-lover|cat-lady|what-happened-to-epilogue|poverty|mother-daughter-relationship|long-island-new-york|kitten|kennedy-family|cat|1970s|based-on-documentary|title-spoken-by-character,"The lives of Edith Bouvier Beale and her daughter Edith, aunt and cousin of Jacqueline Kennedy Onassis.",104,8896,7.4
Toast,2010,Biography|Comedy|Drama|Romance,gay-teenager|older-man-young-boy-relationship|homosexual|gay-kiss|looking-at-oneself-in-a-mirror|cook|boy|kitchen|hotel-kitchen|rivalry|death|class|school|gay|1960s|nostalgia|ham|male-rear-nudity|savoy-hotel|wolverhampton|london-england|midlands|class-difference|stairway|purse|bleaching|polishing|scrubbing|locked-door|masonic-dance|council-house|umbrella|smelling-a-flower|space-heater|baking-a-cake|rolling-pin|looking-at-the-camera|tossing-the-wedding-bouquet|throwing-a-pie-on-the-floor|telephone-hangup|telephone-call|packing|serving-tray|ill-mother|oxygen-mask|oxygen-tank|sleeping|bed|father-and-son-in-same-bed|darning-a-sock|moving|sink|washing-dishes|teenage-girl|lp-recording|band|vomiting-on-a-teacher|surprise|compost|pitchfork|seaside|resort|beach|holiday|wheelbarrow-ride|wheelbarrow|sexual-curiosity|promise|christmas-present|christmas|party|dance|climbing-off-a-roof|dancing-with-mother|pork-pie|leaving-home|bus|restaurant|cafe|competing-for-affection|shepherd's-pie|marriage-proposal|stove|running-away|death-of-husband|false-suspicion-of-pregnancy|sex|lying-under-a-table|toy-car|teddy-bear|breaking-a-piggy-bank|piggy-bank|factory|liar|lie|subjective-camera|vacuum-cleaner|scrubbing-a-floor|apple-pie|narrated-by-character|voice-over-narration|catering|wedding-cake|cleaning-a-car|rubber-gloves|flower|piggy-back-ride|breakfast-tray|friendship|friend|hate|fish|wedding-reception|wedding|carrying-a-bride-over-the-threshold|bicycle|apron|part-time-job|forest|woods|first-gay-kiss|first-kiss|male-male-kiss|loneliness|loss-of-mother|jealousy|watching-tv|trifle|lemon-meringue-pie|recipe|canned-food|dancing-with-a-dress|photograph|mirror|record-player|recording|running|spitting-out-food|culinary-arts|eyeglasses|bread|girl|playing-in-the-rain|sitting-in-the-rain|rain|bare-chested-male|dancer|illness|bare-butt|male-nudity|nudity|undressing|sense-of-taste|sense-of-smell|based-on-memoir|memory|smelling-a-dress|listening-to-music|gardening|gardener|garden|reading|flashlight|marriage|apology|17-year-old|16-year-old|vomiting|cleaning-woman|montage|suitcase|cake|home-economics-class|student|death-of-wife|husband-wife-relationship|tears|fantasy-sequence|9-year-old|toast-the-food|oven|grocery-shopping|grocery-store|chef|eating|food|baker|crying|remarriage|stepmother-stepson-relationship|cleaning-lady|cleaning|cigarette-smoking|reference-to-joan-of-arc|family-relationships|father-son-relationship|mother-son-relationship|dancing|teacher|classroom|milk|baking|reading-by-flashlight|cookbook|teenage-boy|kiss|coming-of-age|one-word-title|food-in-title|cooking|teenager|legs|nylon-stockings|death-of-father|death-of-mother,The ultimate nostalgia trip through everything edible in 1960s Britain.,96,8674,6.6
Teen Beach Movie,2013,Family|Fantasy|Musical,1960s|movie-set|surfer|dancing|beach-party|biker|teen-movie|teenager|surfer-girl|boyfriend-girlfriend-relationship|2010s|21st-century|year-1962|20th-century|aunt|smart-girl|bare-chested-boy|summer|time-travel|heartthrob|culture-clash|first-love|friendship|self-confidence|rival-gang|pop-musical|teen-romance,"Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a a dimension traversing wave that sends them into a beach movie musical in the 60's.",110,8539,5.9
Flowers in the Attic,2014,Drama|Horror|Mystery|Thriller,attic|child-abuse|bad-mother|brother-sister-incest|evil-grandmother|abusive-mother|first-of-series|1950s|mansion|second-marriage|cutting-hair|heiress|father-daughter-relationship|living-in-an-attic|living-in-attic|incestuous-desire|uncle-niece-incest|locked-door|loss-of-father|electric-fence|whipping-a-child|incestuous-kiss|incest|incestuous-sex|title-directed-by-female|brother-sister-kiss|twin|flower|secret|money|fanaticism|corporal-punishment|puberty|cruelty|lust|widow|escape|key-making|looking-out-a-window|secret-child|twin-sister|pet-mouse|mouse|deer|ballerina|cutting-someone's-hair|cutting-off-hair|tar|mirror|scissors|bra|training-bra|female-sex-talk|parent-sex-talk|undershirt|mother-slaps-son|face-slap|slap|kiss|necklace|christmas-day|christmas-gift|party|maid|christmas-party|christmas-present|television|christmas|girl-crying|crying-girl|present|gift|card|snowing|snow|bathtub|sitting-on-roof|flowers|paint|painting|cleaning|screaming|physical-abuse|shouting|bible|swing|dust|photo-album|rules|verbal-abuse|grandmother-granddaughter-relationship|living-with-grandmother|key|police-officer|mother-daughter-relationship|train|vengeance|revenge|cliffhanger|rifle|claustrophobic|loss-of-grandfather|death-of-grandfather|ring|murder-by-poisoning|dead-brother|dead-son|dead-child|poisoning|poison|sick-child|jealousy|bed|bedroom|husband-wife-relationship|stolen-wallet|fence|brother-sister-relationship|donut|stealing-money|whipping-someone|male-whipping|whipping|beating|sadist|locked-in-a-room|starving|molestation|captive|death-of-father|death-of-son|death-of-child|based-on-novel|twin-brother|undressing|bare-chested-male|blood|watching-tv|looking-at-oneself-in-a-mirror|reference-to-brother-sister-incest|brother-and-sister-in-love-with-each-other|brother-in-love-with-sister|sister-in-love-with-brother|brother-sister-incestuous-sex|death|servant|promotion|virginia|f-rated|suburb|rural-setting|handheld-mirror|murder|sex|mother-son-relationship|grandmother-grandson-relationship|grandfather-granddaughter-relationship|grandfather-grandson-relationship|female-nudity|father-son-relationship|bare-breasts|blonde|voice-over|pigtails|nightgown|passion|erotism|vanity|lingerie|book|bruise|religion|trunk|inbreeding|blackmail|suitcase|father-daughter-sex|abandonment|brother-sister-sex|backyard|fireplace|scream|musician|rooftop|dancer|repression|abusive-aunt|haircut|attorney|nurse|wheelchair|old-lady|christmas-tree|gramophone|scar|desertion|teenage-boy|phonograph-record|teenage-girl|little-boy|countryside|train-conductor|little-girl|death-of-husband|bicycling|house-party|ponytail|wealth|guest|rage|mousetrap|chest|candle|anger|swimming|tears|balloon|lake|moving|river|crying|letter|pallor|gunshot|gun|crying-woman|ballet|incestuous-overtones|lashing|cobweb|record-player|stairwell|domineering-mother|single-mother|ambiguous-ending|train-station|rope|claustrophobia|wig|jewelry|loss-of-brother|death-of-brother|loss-of-son|loss-of-child|jail-bait|braids|football|honeymoon|magnifying-glass|sex-talk|black-maid,"After the sudden death of their father, four children face cruel treatment from their ruthless grandmother.",86,8452,6.1
